ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28183922 15 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 114.818 112.486 0.0207315 127.649 0.10052
28183940 1 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 139.069 149.147 0.0675687 188.029 0.260382
28183940 2 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 134.188 141.963 0.0547696 160.528 0.164083
28183940 3 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 132.448 142.712 0.0719249 177.469 0.253685
28183940 4 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 135.877 146.977 0.0755243 179.114 0.241393
28183940 5 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 142.436 154.676 0.0791325 166.669 0.145396
28183940 6 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 135.731 144.123 0.0582272 203.827 0.334089
28183940 7 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 156.731 176.658 0.112801 194.504 0.194201
28183940 8 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 313.058 413.187 0.242333 425.955 0.265043
28183940 9 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 156.48 177.203 0.116945 197.333 0.207025
28183940 10 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 148.008 163.236 0.0932871 197.788 0.251681
28183940 11 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 145.716 160.06 0.0896211 178.636 0.184288
28183940 12 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 136.348 145.748 0.0644962 188.632 0.277176
28183940 13 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 133.545 141.267 0.054658 157.557 0.1524
28183940 14 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 133.579 140.565 0.0497001 239.92 0.443235
28183940 15 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 134.878 143.169 0.0579088 159.895 0.156457
28183968 1 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 127.91 130.387 0.0189954 136.803 0.0650014
28183968 2 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 127.656 129.76 0.0162133 147.726 0.135859
28183968 3 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 128.651 131.579 0.0222521 149.349 0.138586
28183968 4 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 126.622 129.696 0.023699 137.218 0.0772137
28183968 5 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 127.625 129.742 0.0163222 134.632 0.0520507
28183968 6 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 130.223 134.313 0.0304554 150.834 0.136649
28183968 7 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 136.633 146.035 0.0643771 156.193 0.12523
28183968 8 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 135.098 145.353 0.0705547 190.497 0.290813
28183968 9 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 130.232 136.488 0.0458332 160.702 0.189608
28183968 10 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 128.543 131.167 0.0200012 172.215 0.25359
28183968 11 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 128.36 131.399 0.0231257 142.775 0.10096
28183968 12 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 127.315 130.328 0.023115 156.189 0.184863
28183968 13 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 128.623 132.151 0.0266914 161.101 0.201597
28183968 14 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 125.367 126.485 0.00883468 166.743 0.248138
28183968 15 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 125.038 126.326 0.0101958 165.705 0.245415
28183957 1 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 120.477 119.56 0.00766787 149.86 0.19607
28183957 2 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 121.793 120.94 0.00705003 145.843 0.164905
28183957 3 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 120.862 120.637 0.0018651 138.312 0.126162
28183957 4 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 123.345 124.563 0.00977474 147.098 0.161477
28183957 5 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 120.302 119.68 0.00519651 154.333 0.220502
28183957 6 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 121.489 120.991 0.00411431 137.74 0.117985
28183957 7 swarp-0.dax cori.xml 1 1 12 288.193 0.117647 2.32143 130.911 136.047 0.0377526 165.983 0.211299
